,data_name,FC3_delta,FC3_theta,FC3_alpha,FC3_beta,FC3_gamma,FCz_delta,FCz_theta,FCz_alpha,FCz_beta,FCz_gamma,Pz_delta,Pz_theta,Pz_alpha,Pz_beta,Pz_gamma,Oz_delta,Oz_theta,Oz_alpha,Oz_beta,Oz_gamma,addictLabel,stateLabel
0,SimTrapVR_baseline,0.663766245,9.45E-07,9.70E-09,2.38E-10,9.31E-07,0.663766245,9.45E-07,9.70E-09,2.38E-10,9.31E-07,0.663766245,9.45E-07,9.70E-09,2.38E-10,9.31E-07,0.663766245,9.45E-07,9.70E-09,2.38E-10,9.31E-07,0,3
1,SimTrapVR_Pre,0.99999845,7.02E-15,3.37E-16,3.38E-16,1.53E-06,0.99999845,7.02E-15,3.37E-16,3.38E-16,1.53E-06,0.99999845,7.02E-15,3.37E-16,3.38E-16,1.53E-06,0.99999845,7.02E-15,3.37E-16,3.38E-16,1.53E-06,0,0
